"concept_code","c_name"
"I63.233","I63.233 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Bilateral Carotid Arteries"
"I63.312","I63.312 Cerebral Infarction Due To Thrombosis Of Left Middle Cerebral Artery"
"I63.412","I63.412 Cerebral Infarction Due To Embolism Of Left Middle Cerebral Artery"
"I63.49","I63.49 Cerebral Infarction Due To Embolism Of Other Cerebral Artery"
"I63.522","I63.522 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Left Anterior Cerebral Artery"
"I63.523","I63.523 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Bilateral Anterior Arteries"
"I63.9","I63.9 Cerebral Infarction, Unspecified"
"I65.1","I65.1 Occlusion And Stenosis Of Basilar Artery"
"I66.02","I66.02 Occlusion And Stenosis Of Left Middle Cerebral Artery"
"I66.21","I66.21 Occlusion And Stenosis Of Right Posterior Cerebral Artery"
"I66.23","I66.23 Occlusion And Stenosis Of Bilateral Posterior Cerebral Arteries"
"I69.318","I69.318 Other Symptoms And Signs Involving Cognitive Functions Following Cerebral Infarction"
"I69.320","I69.320 Aphasia Following Cerebral Infarction"
"I69.331","I69.331 Monoplegia Of Upper Limb Following Cerebral Infarction Affecting Right Dominant Side"
"I69.359","I69.359 Hemiplegia And Hemiparesis Following Cerebral Infarction Affecting Unspecified Side"
"I69.815","I69.815 Cognitive Social Or Emotional Deficit Following Other Cerebrovascular Disease"
"I69.959","I69.959 Hemiplegia And Hemiparesis Following Unspecified Cerebrovascular Disease Affecting Unspecified Side"
"I70.1","I70.1 Atherosclerosis Of Renal Artery"
"I70.209","I70.209 Unspecified Atherosclerosis Of Native Arteries Of Extremities, Unspecified Extremity"
"I70.292","I70.292 Other Atherosclerosis Of Native Arteries Of Extremities, Left Leg"
"I70.293","I70.293 Other Atherosclerosis Of Native Arteries Of Extremities, Bilateral Legs"
"I72.0","I72.0 Aneurysm Of Carotid Artery (Common) (External) (Internal, Extracranial Portion)"
"I72.3","I72.3 Aneurysm Of Iliac Artery"
"I73.01","I73.01 Raynaud'S Syndrome With Gangrene"
"I73.9","I73.9 Peripheral Vascular Disease, Unspecified"
"I74.09","I74.09 Other Arterial Embolism And Thrombosis Of Abdominal Aorta"
"I77.6","I77.6 Arteritis, Unspecified"
"I82.411","I82.411 Acute Embolism And Thrombosis Of Right Femoral Vein"
"I82.413","I82.413 Acute Embolism And Thrombosis Of Femoral Vein, Bilateral"
"I82.509","I82.509 Chronic Embolism And Thrombosis Of Unspecified Deep Veins Of Unspecified Lower Extremity"
"H66.002","H66.002 Acute Suppurative Otitis Media Without Spontaneous Rupture Of Ear Drum, Left Ear"
"H66.90","H66.90 Otitis Media, Unspecified, Unspecified Ear"
"H66.92","H66.92 Otitis Media, Unspecified, Left Ear"
"H68.002","H68.002 Unspecified Eustachian Salpingitis, Left Ear"
"H72.01","H72.01 Central Perforation Of Tympanic Membrane, Right Ear"
"H81.10","H81.10 Benign Paroxysmal Vertigo, Unspecified Ear"
"H81.13","H81.13 Benign Paroxysmal Vertigo, Bilateral"
"H83.03","H83.03 Labyrinthitis, Bilateral"
"H90.A11","H90.A11 Conductive Hearing Loss, Unilateral, Right Ear With Restricted Hearing On The Contralateral Side"
"H91.21","H91.21 Sudden Idiopathic Hearing Loss, Right Ear"
"H93.11","H93.11 Tinnitus, Right Ear"
"H93.12","H93.12 Tinnitus, Left Ear"
"H93.13","H93.13 Tinnitus, Bilateral"
"H93.19","H93.19 Tinnitus, Unspecified Ear"
"H93.242","H93.242 Temporary Auditory Threshold Shift, Left Ear"
"H93.299","H93.299 Other Abnormal Auditory Perceptions, Unspecified Ear"
"H93.8X3","H93.8X3 Other Specified Disorders Of Ear, Bilateral"
"H93.A9","H93.A9 Pulsatile Tinnitus, Unspecified Ear"
"H95.02","H95.02 Recurrent Cholesteatoma Of Postmastoidectomy Cavity, Left Side"
"I06.1","I06.1 Rheumatic Aortic Insufficiency"
"I08.3","I08.3 Combined Rheumatic Disorders Of Mitral, Aortic And Tricuspid Valves"
"I09.9","I09.9 Rheumatic Heart Disease, Unspecified"
"I13.10","I13.10 Hypertensive Heart And Chronic Kidney Disease Without Heart Failure, With Stage 1 Through Stage 4 Chronic Kidney Disease, Or Unspecified Chronic Kidney Disease"
"I13.11","I13.11 Hypertensive Heart And Chronic Kidney Disease Without Heart Failure, With Stage 5 Chronic Kidney Disease, Or End Stage Renal Disease"
"I13.2","I13.2 Hypertensive Heart And Chronic Kidney Disease With Heart Failure And With Stage 5 Chronic Kidney Disease, Or End Stage Renal Disease"
"I20.8","I20.8 Other Forms Of Angina Pectoris"
"I21.A1","I21.A1 Myocardial Infarction Type 2"
"I25.2","I25.2 Old Myocardial Infarction"
"I25.41","I25.41 Coronary Artery Aneurysm"
"I25.750","I25.750 Atherosclerosis Of Native Coronary Artery Of Transplanted Heart With Unstable Angina"
"I25.810","I25.810 Atherosclerosis Of Coronary Artery Bypass Graft(S) Without Angina Pectoris"
"I25.89","I25.89 Other Forms Of Chronic Ischemic Heart Disease"
"I26.90","I26.90 Septic Pulmonary Embolism Without Acute Cor Pulmonale"
"I26.94","I26.94 Multiple Subsegmental Pulmonary Emboli Without Acute Cor Pulmonale"
"I27.0","I27.0 Primary Pulmonary Hypertension"
"I27.20","I27.20 Pulmonary Hypertension, Unspecified"
"I27.29","I27.29 Other Secondary Pulmonary Hypertension"
"I30.9","I30.9 Acute Pericarditis, Unspecified"
"I35.8","I35.8 Other Nonrheumatic Aortic Valve Disorders"
"I40.0","I40.0 Infective Myocarditis"
"I44.4","I44.4 Left Anterior Fascicular Block"
"I45.5","I45.5 Other Specified Heart Block"
"I48.0","I48.0 Atrial Fibrillation"
"I48.1","I48.1 Atrial Flutter"
"I60.7","I60.7 Nontraumatic Subarachnoid Hemorrhage From Unspecified Intracranial Artery"
"I62.1","I62.1 Nontraumatic Extradural Hemorrhage"
"I63.212","I63.212 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Left Vertebral Arteries"
"I63.219","I63.219 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Unspecified Vertebral Arteries"
"I63.22","I63.22 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Basilar Arteries"
"I63.322","I63.322 Cerebral Infarction Due To Thrombosis Of Left Anterior Cerebral Artery"
"I63.413","I63.413 Cerebral Infarction Due To Embolism Of Bilateral Middle Cerebral Arteries"
"I63.419","I63.419 Cerebral Infarction Due To Embolism Of Unspecified Middle Cerebral Artery"
"I63.423","I63.423 Cerebral Infarction Due To Embolism Of Bilateral Anterior Cerebral Arteries"
"I63.432","I63.432 Cerebral Infarction Due To Embolism Of Left Posterior Cerebral Artery"
"I63.549","I63.549 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Unspecified Cerebellar Artery"
"I63.81","I63.81 Other Cerebral Infarction Due To Occlusion Or Stenosis Of Small Artery"
"I65.09","I65.09 Occlusion And Stenosis Of Unspecified Vertebral Artery"
"I65.29","I65.29 Occlusion And Stenosis Of Unspecified Carotid Artery"
"I66.01","I66.01 Occlusion And Stenosis Of Right Middle Cerebral Artery"
"I67.5","I67.5 Moyamoya Disease"
"I67.9","I67.9 Cerebrovascular Disease, Unspecified"
"I69.220","I69.220 Aphasia Following Other Nontraumatic Intracranial Hemorrhage"
"I69.30","I69.30 Unspecified Sequelae Of Cerebral Infarction"
"I69.344","I69.344 Monoplegia Of Lower Limb Following Cerebral Infarction Affecting Left Non-Dominant Side"
"I69.353","I69.353 Hemiplegia And Hemiparesis Following Cerebral Infarction Affecting Right Non-Dominant Side"
"I69.891","I69.891 Dysphagia Following Other Cerebrovascular Disease"
"I69.991","I69.991 Dysphagia Following Unspecified Cerebrovascular Disease"
"I70.211","I70.211 Atherosclerosis Of Native Arteries Of Extremities With Intermittent Claudication, Right Leg"
"I70.212","I70.212 Atherosclerosis Of Native Arteries Of Extremities With Intermittent Claudication, Left Leg"
"I70.222","I70.222 Atherosclerosis Of Native Arteries Of Extremities With Rest Pain, Left Leg"
"I70.445","I70.445 Atherosclerosis Of Autologous Vein Bypass Graft(S) Of The Left Leg With Ulceration Of Other Part Of Foot"
"I70.448","I70.448 Atherosclerosis Of Autologous Vein Bypass Graft(S) Of The Left Leg With Ulceration Of Other Part Of Lower Leg"
"H91.8X9","H91.8X9 Other Specified Hearing Loss, Unspecified Ear"
"H91.90","H91.90 Unspecified Hearing Loss, Unspecified Ear"
"H92.02","H92.02 Otalgia, Left Ear"
"H92.09","H92.09 Otalgia, Unspecified Ear"
"I08.0","I08.0 Rheumatic Disorders Of Both Mitral And Aortic Valves"
"I08.1","I08.1 Rheumatic Disorders Of Both Mitral And Tricuspid Valves"
"I08.2","I08.2 Rheumatic Disorders Of Both Aortic And Tricuspid Valves"
"I10","I10 Essential (Primary) Hypertension"
"I12.0","I12.0 Hypertensive Chronic Kidney Disease With Stage 5 Chronic Kidney Disease Or End Stage Renal Disease"
"I12.9","I12.9 Hypertensive Chronic Kidney Disease With Stage 1 Through Stage 4 Chronic Kidney Disease, Or Unspecified Chronic Kidney Disease"
"I13.0","I13.0 Hypertensive Heart And Chronic Kidney Disease With Heart Failure And Stage 1 Through Stage 4 Chronic Kidney Disease, Or Unspecified Chronic Kidney Disease"
"I15.8","I15.8 Other Secondary Hypertension"
"I16.1","I16.1 Hypertensive Emergency"
"I21.02","I21.02 St Elevation (Stemi) Myocardial Infarction Involving Left Anterior Descending Coronary Artery"
"I21.11","I21.11 St Elevation (Stemi) Myocardial Infarction Involving Right Coronary Artery"
"I21.A9","I21.A9 Other Myocardial Infarction Type"
"I25.719","I25.719 Atherosclerosis Of Autologous Vein Coronary Artery Bypass Graft(S) With Unspecified Angina Pectoris"
"I25.799","I25.799 Atherosclerosis Of Other Coronary Artery Bypass Graft(S) With Unspecified Angina Pectoris"
"I25.83","I25.83 Coronary Atherosclerosis Due To Lipid Rich Plaque"
"I26.01","I26.01 Septic Pulmonary Embolism With Acute Cor Pulmonale"
"I26.92","I26.92 Saddle Embolus Of Pulmonary Artery Without Acute Cor Pulmonale"
"I27.22","I27.22 Pulmonary Hypertension Due To Left Heart Disease"
"I30.0","I30.0 Acute Nonspecific Idiopathic Pericarditis"
"I30.1","I30.1 Infective Pericarditis"
"I31.4","I31.4 Cardiac Tamponade"
"I31.8","I31.8 Other Specified Diseases Of Pericardium"
"I35.1","I35.1 Nonrheumatic Aortic (Valve) Insufficiency"
"I35.2","I35.2 Nonrheumatic Aortic (Valve) Stenosis With Insufficiency"
"I36.8","I36.8 Other Nonrheumatic Tricuspid Valve Disorders"
"I40.1","I40.1 Isolated Myocarditis"
"I43","I43 Cardiomyopathy In Diseases Classified Elsewhere"
"I44.7","I44.7 Left Bundle-Branch Block, Unspecified"
"I47.1","I47.1 Supraventricular Tachycardia"
"I49.40","I49.40 Unspecified Premature Depolarization"
"I49.5","I49.5 Sick Sinus Syndrome"
"I49.8","I49.8 Other Specified Cardiac Arrhythmias"
"I50.21","I50.21 Acute Systolic (Congestive) Heart Failure"
"I50.31","I50.31 Acute Diastolic (Congestive) Heart Failure"
"I50.32","I50.32 Chronic Diastolic (Congestive) Heart Failure"
"I51.0","I51.0 Cardiac Septal Defect, Acquired"
"I52","I52 Other Heart Disorders In Diseases Classified Elsewhere"
"I61.1","I61.1 Nontraumatic Intracerebral Hemorrhage In Hemisphere, Cortical"
"I61.3","I61.3 Nontraumatic Intracerebral Hemorrhage In Brain Stem"
"I63.00","I63.00 Cerebral Infarction Due To Thrombosis Of Unspecified Precerebral Artery"
"I63.02","I63.02 Cerebral Infarction Due To Thrombosis Of Basilar Artery"
"I63.09","I63.09 Cerebral Infarction Due To Thrombosis Of Other Precerebral Artery"
"I63.132","I63.132 Cerebral Infarction Due To Embolism Of Left Carotid Artery"
"I63.421","I63.421 Cerebral Infarction Due To Embolism Of Right Anterior Cerebral Artery"
"I63.50","I63.50 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Unspecified Cerebral Artery"
"I63.542","I63.542 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Right Cerebellar Artery"
"I65.01","I65.01 Occlusion And Stenosis Of Right Vertebral Artery"
"I66.22","I66.22 Occlusion And Stenosis Of Left Posterior Cerebral Artery"
"I67.7","I67.7 Cerebral Arteritis, Not Elsewhere Classified"
"I68.0","I68.0 Cerebral Amyloid Angiopathy"
"I69.198","I69.198 Other Sequelae Of Nontraumatic Intracerebral Hemorrhage"
"I69.312","I69.312 Visuospatial Deficit And Spatial Neglect Following Cerebral Infarction"
"I69.393","I69.393 Ataxia Following Cerebral Infarction"
"I69.852","I69.852 Hemiplegia And Hemiparesis Following Other Cerebrovascular Disease Affecting Left Dominant Side"
"I69.922","I69.922 Dysarthria Following Unspecified Cerebrovascular Disease"
"I69.998","I69.998 Other Sequelae Following Unspecified Cerebrovascular Disease"
"I70.201","I70.201 Unspecified Atherosclerosis Of Native Arteries Of Extremities, Right Leg"
"I70.213","I70.213 Atherosclerosis Of Native Arteries Of Extremities With Intermittent Claudication, Bilateral Legs"
"I70.223","I70.223 Atherosclerosis Of Native Arteries Of Extremities With Rest Pain, Bilateral Legs"
"I70.233","I70.233 Atherosclerosis Of Native Arteries Of Right Leg With Ulceration Of Ankle"
"I70.261","I70.261 Atherosclerosis Of Native Arteries Of Extremities With Gangrene, Right Leg"
"I70.269","I70.269 Atherosclerosis Of Native Arteries Of Extremities With Gangrene, Unspecified Extremity"
"I70.444","I70.444 Atherosclerosis Of Autologous Vein Bypass Graft(S) Of The Left Leg With Ulceration Of Heel And Midfoot"
"I71.03","I71.03 Dissection Of Thoracoabdominal Aorta"
"I73.89","I73.89 Other Specified Peripheral Vascular Diseases"
"I77.1","I77.1 Stricture Of Artery"
"I77.819","I77.819 Aortic Ectasia, Unspecified Site"
"I82.220","I82.220 Acute Embolism And Thrombosis Of Inferior Vena Cava"
"H61.391","H61.391 Other Acquired Stenosis Of Right External Ear Canal"
"H66.012","H66.012 Acute Suppurative Otitis Media With Spontaneous Rupture Of Ear Drum, Left Ear"
"H66.12","H66.12 Chronic Tubotympanic Suppurative Otitis Media, Left Ear"
"H70.009","H70.009 Acute Mastoiditis Without Complications, Unspecified Ear"
"H74.92","H74.92 Unspecified Disorder Of Left Middle Ear And Mastoid"
"H81.02","H81.02 M?ni?re'S Disease, Left Ear"
"H81.03","H81.03 M?ni?re'S Disease, Bilateral"
"H81.91","H81.91 Unspecified Disorder Of Vestibular Function, Right Ear"
"H90.11","H90.11 Conductive Hearing Loss, Unilateral, Right Ear, With Unrestricted Hearing On The Contralateral Side"
"H90.A22","H90.A22 Sensorineural Hearing Loss, Unilateral, Left Ear, With Restricted Hearing On The Contralateral Side"
"H91.8X1","H91.8X1 Other Specified Hearing Loss, Right Ear"
"H91.91","H91.91 Unspecified Hearing Loss, Right Ear"
"H92.21","H92.21 Otorrhagia, Right Ear"
"H93.90","H93.90 Unspecified Disorder Of Ear, Unspecified Ear"
"I06.0","I06.0 Rheumatic Aortic Stenosis"
"I11.9","I11.9 Hypertensive Heart Disease Without Heart Failure"
"I21.09","I21.09 St Elevation (Stemi) Myocardial Infarction Involving Other Coronary Artery Of Anterior Wall"
"I24.0","I24.0 Acute Coronary Thrombosis Not Resulting In Myocardial Infarction"
"I24.1","I24.1 Dressler'S Syndrome"
"I25.3","I25.3 Aneurysm Of Heart"
"I25.709","I25.709 Atherosclerosis Of Coronary Artery Bypass Graft(S), Unspecified, With Unspecified Angina Pectoris"
"I25.811","I25.811 Atherosclerosis Of Native Coronary Artery Of Transplanted Heart Without Angina Pectoris"
"I25.812","I25.812 Atherosclerosis Of Bypass Graft Of Coronary Artery Of Transplanted Heart Without Angina Pectoris"
"I26.99","I26.99 Other Pulmonary Embolism Without Acute Cor Pulmonale"
"I27.21","I27.21 Secondary Pulmonary Arterial Hypertension"
"I31.3","I31.3 Pericardial Effusion (Noninflammatory)"
"I36.1","I36.1 Nonrheumatic Tricuspid (Valve) Insufficiency"
"I44.2","I44.2 Atrioventricular Block, Complete"
"I46.9","I46.9 Cardiac Arrest, Cause Unspecified"
"I48.19","I48.19 Other Persistent Atrial Fibrillation"
"I50.23","I50.23 Acute On Chronic Systolic (Congestive) Heart Failure"
"I50.33","I50.33 Acute On Chronic Diastolic (Congestive) Heart Failure"
"I60.00","I60.00 Nontraumatic Subarachnoid Hemorrhage From Unspecified Carotid Siphon And Bifurcation"
"I60.8","I60.8 Other Nontraumatic Subarachnoid Hemorrhage"
"I60.9","I60.9 Nontraumatic Subarachnoid Hemorrhage, Unspecified"
"I62.00","I62.00 Nontraumatic Subdural Hemorrhage, Unspecified"
"I62.02","I62.02 Nontraumatic Subacute Subdural Hemorrhage"
"I63.40","I63.40 Cerebral Infarction Due To Embolism Of Unspecified Cerebral Artery"
"I63.411","I63.411 Cerebral Infarction Due To Embolism Of Right Middle Cerebral Artery"
"I63.422","I63.422 Cerebral Infarction Due To Embolism Of Left Anterior Cerebral Artery"
"I63.431","I63.431 Cerebral Infarction Due To Embolism Of Right Posterior Cerebral Artery"
"I63.521","I63.521 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Right Anterior Cerebral Artery"
"I63.532","I63.532 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Right Posterior Cerebral Artery"
"I69.120","I69.120 Aphasia Following Nontraumatic Intracerebral Hemorrhage"
"I69.152","I69.152 Hemiplegia And Hemiparesis Following Nontraumatic Intracerebral Hemorrhage Affecting Left Dominant Side"
"I69.311","I69.311 Memory Deficit Following Cerebral Infarction"
"I69.321","I69.321 Dysphasia Following Cerebral Infarction"
"I69.352","I69.352 Hemiplegia And Hemiparesis Following Cerebral Infarction Affecting Left Dominant Side"
"I69.354","I69.354 Hemiplegia And Hemiparesis Following Cerebral Infarction Affecting Left Non-Dominant Side"
"I69.392","I69.392 Facial Weakness Following Cerebral Infarction"
"I69.851","I69.851 Hemiplegia And Hemiparesis Following Other Cerebrovascular Disease Affecting Right Dominant Side"
"I69.911","I69.911 Memory Deficit Following Unspecified Cerebrovascular Disease"
"I69.919","I69.919 Unspecified Symptoms And Signs Involving Cognitive Functions Following Unspecified Cerebrovascular Disease"
"I69.954","I69.954 Hemiplegia And Hemiparesis Following Unspecified Cerebrovascular Disease Affecting Left Non-Dominant Side"
"I70.0","I70.0 Atherosclerosis Of Aorta"
"I71.4","I71.4 Abdominal Aortic Aneurysm, Without Rupture"
"I74.4","I74.4 Embolism And Thrombosis Of Arteries Of Extremities, Unspecified"
"I74.9","I74.9 Embolism And Thrombosis Of Unspecified Artery"
"I77.71","I77.71 Dissection Of Carotid Artery"
"I77.77","I77.77 Dissection Of Artery Of Lower Extremity"
"I77.89","I77.89 Other Specified Disorders Of Arteries And Arterioles"
"I78.0","I78.0 Hereditary Hemorrhagic Telangiectasia"
"I80.9","I80.9 Phlebitis And Thrombophlebitis Of Unspecified Site"
"I82.403","I82.403 Acute Embolism And Thrombosis Of Unspecified Deep Veins Of Lower Extremity, Bilateral"
"I82.419","I82.419 Acute Embolism And Thrombosis Of Unspecified Femoral Vein"
"I82.461","I82.461 Acute Embolism And Thrombosis Of Right Calf Muscular Vein"
"I82.499","I82.499 Acute Embolism And Thrombosis Of Other Deep Vein Of Unspecified Lower Extremity"
"I82.4Y1","I82.4Y1 Acute Embolism And Thrombosis Of Unspecified Deep Veins Of Right Proximal Lower Extremity"
"I82.4Y3","I82.4Y3 Acute Embolism And Thrombosis Of Unspecified Deep Veins Of Proximal Lower Extremity, Bilateral"
"H40.20X0","H40.20X0 Unspecified Primary Angle-Closure Glaucoma, Stage Unspecified"
"H40.20X1","H40.20X1 Unspecified Primary Angle-Closure Glaucoma, Mild Stage"
"H40.219","H40.219 Acute Angle-Closure Glaucoma, Unspecified Eye"
"H40.2221","H40.2221 Chronic Angle-Closure Glaucoma, Left Eye, Mild Stage"
"H40.2234","H40.2234 Chronic Angle-Closure Glaucoma, Bilateral, Indeterminate Stage"
"H40.52X3","H40.52X3 Glaucoma Secondary To Other Eye Disorders, Left Eye, Severe Stage"
"H40.53X0","H40.53X0 Glaucoma Secondary To Other Eye Disorders, Bilateral, Stage Unspecified"
"H40.822","H40.822 Hypersecretion Glaucoma, Left Eye"
"H40.9","H40.9 Unspecified Glaucoma"
"H43.22","H43.22 Crystalline Deposits In Vitreous Body, Left Eye"
"H47.619","H47.619 Cortical Blindness, Unspecified Side Of Brain"
"H50.00","H50.00 Unspecified Esotropia"
"H51.0","H51.0 Palsy (Spasm) Of Conjugate Gaze"
"H52.13","H52.13 Myopia, Bilateral"
"H52.211","H52.211 Irregular Astigmatism, Right Eye"
"H53.40","H53.40 Unspecified Visual Field Defects"
"H53.433","H53.433 Sector Or Arcuate Defects, Bilateral"
"H53.8","H53.8 Other Visual Disturbances"
"H54.61","H54.61 Unqualified Visual Loss, Right Eye, Normal Vision Left Eye"
"H54.7","H54.7 Unspecified Visual Loss"
"H55.89","H55.89 Other Irregular Eye Movements"
"H60.22","H60.22 Malignant Otitis Externa, Left Ear"
"H60.321","H60.321 Hemorrhagic Otitis Externa, Right Ear"
"H60.41","H60.41 Cholesteatoma Of Right External Ear"
"H60.90","H60.90 Unspecified Otitis Externa, Unspecified Ear"
"H61.302","H61.302 Acquired Stenosis Of Left External Ear Canal, Unspecified"
"H72.90","H72.90 Unspecified Perforation Of Tympanic Membrane, Unspecified Ear"
"H74.91","H74.91 Unspecified Disorder Of Right Middle Ear And Mastoid"
"H81.4","H81.4 Vertigo Of Central Origin"
"H83.01","H83.01 Labyrinthitis, Right Ear"
"H83.09","H83.09 Labyrinthitis, Unspecified Ear"
"H83.2X9","H83.2X9 Labyrinthine Dysfunction, Unspecified Ear"
"H90.71","H90.71 Mixed Conductive And Sensorineural Hearing Loss, Unilateral, Right Ear, With Unrestricted Hearing On The Contralateral Side"
"H90.A21","H90.A21 Sensorineural Hearing Loss, Unilateral, Right Ear, With Restricted Hearing On The Contralateral Side"
"H93.8X2","H93.8X2 Other Specified Disorders Of Left Ear"
"I07.9","I07.9 Rheumatic Tricuspid Valve Disease, Unspecified"
"I16.0","I16.0 Hypertensive Urgency"
"I20.1","I20.1 Angina Pectoris With Documented Spasm"
"I23.6","I23.6 Thrombosis Of Atrium, Auricular Appendage, And Ventricle As Current Complications Following Acute Myocardial Infarction"
"I24.8","I24.8 Other Forms Of Acute Ischemic Heart Disease"
"I25.111","I25.111 Atherosclerotic Heart Disease Of Native Coronary Artery With Angina Pectoris With Documented Spasm"
"I25.720","I25.720 Atherosclerosis Of Autologous Artery Coronary Artery Bypass Graft(S) With Unstable Angina Pectoris"
"I25.728","I25.728 Atherosclerosis Of Autologous Artery Coronary Artery Bypass Graft(S) With Other Forms Of Angina Pectoris"
"I26.09","I26.09 Other Pulmonary Embolism With Acute Cor Pulmonale"
"I26.93","I26.93 Single Subsegmental Pulmonary Embolism Without Acute Cor Pulmonale"
"I27.83","I27.83 Eisenmenger'S Syndrome"
"I28.1","I28.1 Aneurysm Of Pulmonary Artery"
"I31.2","I31.2 Hemopericardium, Not Elsewhere Classified"
"I36.9","I36.9 Nonrheumatic Tricuspid Valve Disorder, Unspecified"
"I40.9","I40.9 Acute Myocarditis, Unspecified"
"I41","I41 Myocarditis In Diseases Classified Elsewhere"
"I42.0","I42.0 Dilated Cardiomyopathy"
"I42.2","I42.2 Other Hypertrophic Cardiomyopathy"
"I42.5","I42.5 Other Restrictive Cardiomyopathy"
"I45.10","I45.10 Unspecified Right Bundle-Branch Block"
"I45.4","I45.4 Nonspecific Intraventricular Block"
"I45.81","I45.81 Long Qt Syndrome"
"I48.92","I48.92 Unspecified Atrial Flutter"
"I49.1","I49.1 Atrial Premature Depolarization"
"I50.22","I50.22 Chronic Systolic (Congestive) Heart Failure"
"I50.30","I50.30 Unspecified Diastolic (Congestive) Heart Failure"
"I50.810","I50.810 Right Heart Failure, Unspecified"
"I50.811","I50.811 Acute Right Heart Failure"
"I50.9","I50.9 Heart Failure, Unspecified"
"I51.81","I51.81 Takotsubo Syndrome"
"I60.2","I60.2 Nontraumatic Subarachnoid Hemorrhage From Anterior Communicating Artery"
"I61.0","I61.0 Nontraumatic Intracerebral Hemorrhage In Hemisphere, Subcortical"
"I62.03","I62.03 Nontraumatic Chronic Subdural Hemorrhage"
"I62.9","I62.9 Nontraumatic Intracranial Hemorrhage, Unspecified"
"I63.031","I63.031 Cerebral Infarction Due To Thrombosis Of Right Carotid Artery"
"I63.231","I63.231 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Right Carotid Arteries"
"I63.239","I63.239 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Unspecified Carotid Arteries"
"I63.331","I63.331 Cerebral Infarction Due To Thrombosis Of Right Posterior Cerebral Artery"
"I63.513","I63.513 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Bilateral Middle Arteries"
"I63.531","I63.531 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Left Posterior Cerebral Artery"
"I63.539","I63.539 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Unspecified Posterior Cerebral Artery"
"I63.543","I63.543 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Bilateral Cerebellar Arteries"
"I63.131","I63.131 Cerebral Infarction Due To Embolism Of Right Carotid Artery"
"I63.211","I63.211 Cerebral Infarction Due To Unspecified Occlusion Or Stenosis Of Right Vertebral Arteries"
"I63.30","I63.30 Cerebral Infarction Due To Thrombosis Of Unspecified Cerebral Artery"
"I63.341","I63.341 Cerebral Infarction Due To Thrombosis Of Right Cerebellar Artery"
"I63.6","I63.6 Cerebral Infarction Due To Cerebral Venous Thrombosis, Nonpyogenic"
"I63.89","I63.89 Other Cerebral Infarction"
"I65.02","I65.02 Occlusion And Stenosis Of Left Vertebral Artery"
"I65.23","I65.23 Occlusion And Stenosis Of Bilateral Carotid Arteries"
"I66.13","I66.13 Occlusion And Stenosis Of Bilateral Anterior Cerebral Arteries"
"I66.9","I66.9 Occlusion And Stenosis Of Unspecified Cerebral Artery"
"I69.054","I69.054 Hemiplegia And Hemiparesis Following Nontraumatic Subarachnoid Hemorrhage Affecting Left Non-Dominant Side"
"I69.154","I69.154 Hemiplegia And Hemiparesis Following Nontraumatic Intracerebral Hemorrhage Affecting Left Non-Dominant Side"
"I69.159","I69.159 Hemiplegia And Hemiparesis Following Nontraumatic Intracerebral Hemorrhage Affecting Unspecified Side"
"I69.254","I69.254 Hemiplegia And Hemiparesis Following Other Nontraumatic Intracranial Hemorrhage Affecting Left Non-Dominant Side"
"I69.298","I69.298 Other Sequelae Of Other Nontraumatic Intracranial Hemorrhage"
"I69.319","I69.319 Unspecified Symptoms And Signs Involving Cognitive Functions Following Cerebral Infarction"
"I69.322","I69.322 Dysarthria Following Cerebral Infarction"
"I69.391","I69.391 Dysphagia Following Cerebral Infarction"
"I69.854","I69.854 Hemiplegia And Hemiparesis Following Other Cerebrovascular Disease Affecting Left Non-Dominant Side"
"I69.920","I69.920 Aphasia Following Unspecified Cerebrovascular Disease"
"I69.928","I69.928 Other Speech And Language Deficits Following Unspecified Cerebrovascular Disease"
"I70.235","I70.235 Atherosclerosis Of Native Arteries Of Right Leg With Ulceration Of Other Part Of Foot"
"I70.249","I70.249 Atherosclerosis Of Native Arteries Of Left Leg With Ulceration Of Unspecified Site"
"I70.262","I70.262 Atherosclerosis Of Native Arteries Of Extremities With Gangrene, Left Leg"
"I70.291","I70.291 Other Atherosclerosis Of Native Arteries Of Extremities, Right Leg"
"I70.299","I70.299 Other Atherosclerosis Of Native Arteries Of Extremities, Unspecified Extremity"
"I70.434","I70.434 Atherosclerosis Of Autologous Vein Bypass Graft(S) Of The Right Leg With Ulceration Of Heel And Midfoot"
